event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Blocked,FALSE,2,202.9,14.5,24.37012005,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,1054.3,20.3,65.77225468,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Over the net,FALSE,2,1083.3,7.5,63.77803322,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,277.5,3.5,85.10090755,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,27.3,19.9,56.07020258,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,1147.9,8.8,40.9858243,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,781.4,9.8,46.33221985,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,1,683.3,14.5,37.30394828,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,3,864.2,17.3,63.28727962,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,2,795.9,5.6,14.32271998,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,534.8,17.2,58.14200111,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,1,707.7,10.9,-11.54669055,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,2,10.1,24.1,55.6849124,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,536.9,17,31.92608114,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,603.8,10.2,8.403371091,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,1,766,3,6.581944655,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,695.5,22.8,63.08700302,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,1067.9,18.4,56.21884228,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,3,339.7,12.7,41.55261315,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,2,84.5,15.6,54.05788813,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,678,21.6,54.68878656,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,761.8,21.2,50.48843931,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,3,522.9,20.6,63.82034063,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,37.8,22.1,65.82089285,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,275.8,20.6,59.1360618,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,184.4,18.7,50.06942013,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,148,18.7,61.59190869,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,TRUE,1,497.8,20.6,57.03720232,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,3,22.9,23.3,56.02345596,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,335.6,19.6,67.58731053,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,3,116.7,12.2,36.55963472,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,995.4,16.7,30.50435005,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Over the net,FALSE,3,884.5,18.3,38.92754359,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,538,12.9,51.04409216,FALSE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,3,229.9,20.8,63.43494882,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,366.9,14.9,51.08469387,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Wide right,FALSE,3,97.8,14.7,71.43967768,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,530.5,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,1,912,13.6,11.21491468,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,1,113.4,19.8,75.89319526,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,500.7,17.7,47.212042,FALSE,FALSE,FALSE,FALSE,FALSE
